word,raw_grade_band,reason
synthetic,Made by chemical synthesis; not natural,invalid_format
system,A set of things working together,invalid_format
systematic,Done or acting according to a fixed plan,invalid_format
tactical,Relating to small-scale actions in a plan,invalid_format
tangent,A straight line touching a curve; a side-track,invalid_format
technical,Relating to a particular subject or craft,invalid_format
technique,A way of carrying out a particular task,invalid_format
technology,Application of scientific knowledge,invalid_format
tectonic,Relating to the structure of the earth's crust,invalid_format
template,A preset format for a document,invalid_format
tension,The state of being stretched tight,invalid_format
terminal,Predicted to lead to death; a computer end,invalid_format
terminate,To bring to an end,invalid_format
terminology,The body of terms used in a subject,invalid_format
territory,An area of land under jurisdiction,invalid_format
textile,A type of cloth or woven fabric,invalid_format
theoretical,Based on or calculated through theory,invalid_format
theory,A system of ideas intended to explain something,invalid_format
thermal,Relating to heat,invalid_format
thesis,A statement or theory to be maintained,invalid_format
tolerance,Ability to endure something; a margin of error,invalid_format
topic,A matter dealt with in a text,invalid_format
toxicity,The quality of being poisonous or harmful,invalid_format
tradition,A long-established custom or belief,invalid_format
transaction,An instance of buying or selling,invalid_format
transcript,A written or printed version of material,invalid_format
transfer,To move from one place to another,invalid_format
transformation,A thorough or dramatic change,invalid_format
transition,The process of changing from one state to another,invalid_format
translation,The process of changing text to another language,invalid_format
transparent,Allowing light to pass through; easy to see through,invalid_format
transport,G4-6,unknown_band
transportation,G4-6,unknown_band
transverse,Situated or extending across something,invalid_format
trend,A general direction in which something is developing,invalid_format
trigger,A cause of a particular action or process,invalid_format
ultimate,Being or happening at the end of a process,invalid_format
ultrasound,Sound waves with frequencies higher than human hearing,invalid_format
unavailable,Not able to be used or obtained,invalid_format
unconscious,Not awake and aware of one's surroundings,invalid_format
underestimate,To estimate something to be smaller or less important,invalid_format
undergo,To experience or be subjected to,invalid_format
underlie,To be the cause or basis of something,invalid_format
undertake,To commit oneself to and begin,invalid_format
unify,To make or become united or whole,invalid_format
unique,Being the only one of its kind,invalid_format
unit,An individual thing or person; a measurement,invalid_format
update,To make something more modern or current,invalid_format
utility,The state of being useful or profitable,invalid_format
utilize,To make practical and effective use of,invalid_format
vaccine,G4-6,unknown_band
valid,Having a sound basis in logic or fact,invalid_format
validate,To check or prove the accuracy of,invalid_format
validity,The quality of being logically or factually sound,invalid_format
variability,Lack of consistency or fixed pattern,invalid_format
variable,Not consistent or having a fixed pattern,invalid_format
variation,A change or difference in condition,invalid_format
variety,The quality or state of being different,invalid_format
vary,"To differ in size, amount, or degree",invalid_format
vast,Of very great extent or quantity,invalid_format
vehicle,A thing used for transporting people or goods,invalid_format
velocity,The speed of something in a given direction,invalid_format
vendor,A person or company offering something for sale,invalid_format
verdict,G4-6,unknown_band
verify,To make sure that something is true,invalid_format
version,A particular form of something,invalid_format
vertebrate,G4-6,unknown_band
vertical,At right angles to a horizontal plane,invalid_format
vessel,A ship or large boat; a hollow container,invalid_format
via,By way of; through,invalid_format
vibrant,Full of energy and enthusiasm,invalid_format
vibrate,To move continuously and rapidly to and fro,invalid_format
violation,An act of disregarding a law or agreement,invalid_format
virtual,Almost or nearly as described; simulated,invalid_format
virtually,Nearly; almost,invalid_format
virus,G4-6,unknown_band
visible,Able to be seen,invalid_format
vision,The faculty or state of being able to see,invalid_format
visual,Relating to seeing or sight,invalid_format
volume,The amount of space an object occupies; loudness,invalid_format
wavelength,Distance between successive crests of a wave,invalid_format
whereas,In contrast or comparison with the fact that,invalid_format
whereby,By which,invalid_format
wholly,Entirely; fully,invalid_format
widespread,Found or distributed over a large area,invalid_format
width,The measurement or extent of something from side to side,invalid_format
wildlife,Animals that live independently of people,invalid_format
withdraw,To remove or take away,invalid_format
withdrawal,The action of withdrawing something,invalid_format
witness,A person who sees an event; to see,invalid_format
yield,To produce or provide; to give way,invalid_format
zone,An area or stretch of land having a particular characteristic,invalid_format
correspond,G4-6,unknown_band
deactivate,G4-6,unknown_band
enrich,G4-6,unknown_band
bill of rights,G4-6,unknown_band
conquest,G4-6,unknown_band
coronation,G4-6,unknown_band
councilor,G4-6,unknown_band
declaration,G4-6,unknown_band
famine,G4-6,unknown_band
frontier,G4-6,unknown_band
injustice,G4-6,unknown_band
nomad,G4-6,unknown_band
occupation,G4-6,unknown_band
patriotism,G4-6,unknown_band
refugee,G4-6,unknown_band
revolt,G4-6,unknown_band
arc,G4-6,unknown_band
collision,G4-6,unknown_band
detector,G4-6,unknown_band
drag,G4-6,unknown_band
electromagnet,G4-6,unknown_band
focusing,G4-6,unknown_band
ignition,G4-6,unknown_band
kilowatt,G4-6,unknown_band
mechanical,G4-6,unknown_band
algae,G4-6,unknown_band
artery,G4-6,unknown_band
biome,G4-6,unknown_band
cell membrane,G4-6,unknown_band
cell wall,G4-6,unknown_band
contagious,G4-6,unknown_band
dehydration,G4-6,unknown_band
endangered,G4-6,unknown_band
erosion,G4-6,unknown_band
exoskeleton,G4-6,unknown_band
food web,G4-6,unknown_band
fossilize,G4-6,unknown_band
germination,G4-6,unknown_band
host,G4-6,unknown_band
kidney,G4-6,unknown_band
larva,G4-6,unknown_band
limestone,G4-6,unknown_band
liver,G4-6,unknown_band
microorganism,G4-6,unknown_band
pollination,G4-6,unknown_band
pollinator,G4-6,unknown_band
producer,G4-6,unknown_band
spore,G4-6,unknown_band
vaccinate,G4-6,unknown_band
weathering,G4-6,unknown_band
wetland,G4-6,unknown_band
abundance,G4-6,unknown_band
academy,G4-6,unknown_band
census,G4-6,unknown_band
civil war,G4-6,unknown_band
civilian,G4-6,unknown_band
cultural,G4-6,unknown_band
dictator,G4-6,unknown_band
economy,G4-6,unknown_band
equality,G4-6,unknown_band
ethnic,G4-6,unknown_band
nationality,G4-6,unknown_band
parliament,G4-6,unknown_band
prosperity,G4-6,unknown_band
rebellion,G4-6,unknown_band
dedicate,G4-6,unknown_band
dedication,G4-6,unknown_band
interactive,G4-6,unknown_band
scripted,G4-6,unknown_band
description,G4-6,unknown_band
impress,G4-6,unknown_band
sensible,G4-6,unknown_band
sensor,G4-6,unknown_band
photographic,G4-6,unknown_band
kilometer,G4-6,unknown_band
expire,G4-6,unknown_band
motionless,G4-6,unknown_band
capable,G4-6,unknown_band
commotion,G4-6,unknown_band
locomotive,G4-6,unknown_band
missile,G4-6,unknown_band
